TCDEL	TCCNTR	TCCNTA	TCCNSM	TCDESC	TCDESS	TCDESL	TCFIL2	TCCNTY	TCFRTB	TCFIL3	TCDES2	TCFIL4	TCCTRS	TCIUM	TPFIL5
 	460	460	BULK  	BULK    BULK GENERIC          	BULK    	BULK GENERIC          	                                                                                                          	B	  	                            	ARGUARD                       	                	 	GAL	                                                                                                                                                                                                                                                            
 	481	481	TOTE  	330 GAL 330 GAL TOTE GENERIC  	330 GAL 	330 GAL TOTE GENERIC  	                                                                                                          	P	  	                            	ARGUARD                       	                	 	TOT	                                                                                                                                                                                                                                                            
 	476	476	DRUM  	55 GAL  55 GAL DRUM GENERIC   	55 GAL  	55 GAL DRUM GENERIC   	                                                                                                          	P	  	                            	ARGUARD                       	                	 	DRM	                                                                                                                                                                                                                                                            
 	794	794	DRUM  	55 GAL  55 GALLON DRUM        	55 GAL  	55 GALLON DRUM        	                                                                                                          	P	  	                            	THERMOIL                      	                	P	GAL	                                                                                                                                                                                                                                                            
 	464	464	QUTLIT	12/1 QTS12/1 QUARTS           	12/1 QTS	12/1 QUARTS           	                                                                                                          	P	  	                            	ARGUARD                       	                	 	CAS	                                                                                                                                                                                                                                                            
 	468	468	PAIL  	5 GAL   5 GALLON PAIL GENERIC 	5 GAL   	5 GALLON PAIL GENERIC 	                                                                                                          	P	  	                            	ARGUARD                       	                	 	PAL	                                                                                                                                                                                                                                                            
 	466	466	GALLON	4/1 GAL 4/1 GALLON            	4/1 GAL 	4/1 GALLON            	                                                                                                          	P	  	                            	ARGUARD                       	                	 	CAS	                                                                                                                                                                                                                                                            
 	336	336	QUTLIT	6/950ML 22820 HY STP LEK      	6/950ML 	22820 HY STP LEK      	                                                                                                          	P	  	                            	BARS MEX/SP                   	                	P	Z26	                                                                                                                                                                                                                                                            
 	749	749	PAIL  	5 GAL   5 GAL WHITE PAIL&LID  	5 GAL   	5 GAL WHITE PAIL&LID  	                                                                                                          	P	  	                            	MAVERICK PERFORMANCE PRODUCTS 	                	P	PAL	                                                                                                                                                                                                                                                            
 	750	750	BULK  	BULK    BULK                  	BULK    	BULK                  	                                                                                                          	B	  	                            	MAVERICK PERFORMANCE PRODUCTS 	                	P	GAL	                                                                                                                                                                                                                                                            
 	498	498	TOTE  	330 GAL 330 GAL TOTE RESALE   	330 GAL 	330 GAL TOTE RESALE   	                                                                                                          	P	  	                            	ARGUARD                       	                	 	TOT	                                                                                                                                                                                                                                                            
