TPDEL	TPFIL1	TPCONO	TPPROD	TPDESC	TPSTCC	TPIND8	TPFIL2	TPPLGR	TPPLCL	TPPLGH	TPPLCH	TPPRGP	TPTOCO	TPCOL	TPICOL	TPSHDS	TPPRCL	TPFIL3	TPSMSG	TPGRAV	TPINGP	TPSGLN	TPABDS	TPSELL	TPFIL4	TPALTD	TPTISQ	TPFIL5	TPVCFC	TPFLCD	TPRPSL	TPDTTM	TPSPRT	TPIRSC	TPOWNB	TPFIL7
 	      	10	4321	KENDEX LVD-STOCK              	        	0	 	0	0	               	          	K2	0	0	0	                              	X07	 	 	26.8	H1	13134321	KX LVD-STK	Y	  	                    	0	                                                                  	LU	Y	 	20151214163402	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1263	PARATONE 24EX                 	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	34.5	N1	0	PARA 24EX 	N	  	                    	0	                                                                  	LU	Y	 	20151215112907	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1264	HITEC 008                     	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	23.1	M1	0	HITEC 008 	N	  	                    	0	                                                                  	LU	Y	 	20151223124550	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1265	HITEC 082                     	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	5.9	M1	0	HITEC 082 	N	  	                    	0	                                                                  	LU	Y	 	20151223124918	   	   	 	                                                                                                                                                                                                                                              
 	      	10	9211	LVD-STOCK                     	        	0	 	0	0	               	          	K2	0	0	0	PETROLEUM LUBRICATING OIL     	X07	 	 	27.2	H1	13000000	LVD-STOCK 	Y	  	                    	0	                                                                  	LU	Y	 	20160108092811	   	   	 	                                                                                                                                                                                                                                              
 	      	10	4573	KENDEX 1200                   	        	0	 	0	0	               	          	K2	0	0	0	                              	J10	 	 	24.6	F1	13134573	KENDEX1200	Y	  	                    	0	                                                                  	LU	Y	 	20160111204728	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7935	BARS STOP LEAK PRODUCT GROUP  	        	0	 	0	0	               	          	K4	0	0	0	                              	M03	 	 	26.0	L1	13137935	BARS EO ST	Y	  	                    	0	                                                                  	LU	Y	 	20160118143733	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7936	BARS VALVE SEAL OIL CONSUMPTIO	        	20241121	 	0	0	               	          	K4	0	0	0	PETROLEUM LUBRICATING OIL     	M03	 	 	28.5	L1	13137936	BARS VALVE	Y	  	                    	0	                                                                  	LU	Y	 	20160118144830	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7937	BARS LEAKS ONE SEAL STOP LEAK 	        	20241121	 	0	0	               	          	K4	0	0	0	                              	M03	 	 	26.7	L1	13137937	BARS1SEALS	Y	  	                    	0	                                                                  	LU	Y	 	20160203140704	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1266	LZ 935                        	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	14.4	M1	13000000	LZ 935    	N	  	                    	0	                                                                  	LU	Y	 	20160217110905	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7938	BARS RISLONE TRANS STOP SLIP  	        	0	 	0	0	               	          	K4	0	0	0	                              	M03	 	 	28.5	L1	13137938	RIS TRANS 	Y	  	                    	0	                                                                  	LU	Y	 	20160229164950	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7939	BARS LEAKS MS-1               	        	20190317	 	0	0	               	          	K4	0	0	0	                              	M03	 	 	30.2	L1	13137939	BRS LKSMS1	Y	  	                    	0	                                                                  	LU	Y	 	20160323094222	   	   	 	                                                                                                                                                                                                                                              
 	      	10	PD21	55 GAL POLY DRUMS             	        	0	 	0	0	               	          	KA	0	0	0	55 GAL POLY DRUMS             	A01	 	 	0.0	Z1	11331028	POLY DRUMS	Y	  	                    	0	                                                                  	  	N	 	20160415112004	   	   	 	                                                                                                                                                                                                                                              
 	      	10	PQ02	CAP SEALS FOR DRUMS           	        	0	 	0	0	               	          	KA	0	0	0	CAP SEALS FOR DRUMS           	A01	 	 	0.0	Z1	38750001	CAP SEALS 	Y	  	                    	0	                                                                  	  	N	 	20160415112218	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1267	LZ 1038U                      	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	10.9	M1	0	LZ 1038U  	N	  	                    	0	                                                                  	LU	Y	 	20160418085412	   	   	 	                                                                                                                                                                                                                                              
 	      	10	8561	R10418A (LZ 7418B)            	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	35.4	N1	0	LZ 7418B  	N	  	                    	0	                                                                  	LU	Y	 	20160429164931	   	   	 	                                                                                                                                                                                                                                              
 	      	10	8559	R10417A (LZ 21303A)           	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	14.4	N1	0	LZ 21303A 	N	  	                    	0	                                                                  	LU	Y	 	20160429165245	   	   	 	                                                                                                                                                                                                                                              
 	      	10	F618	12/1 LI KAWASAKI CARTONS      	        	0	 	0	0	               	          	KA	0	0	0	                              	A01	 	 	0.0	Z1	11334010	12/1 CRTNS	Y	  	                    	0	                                                                  	  	N	 	20160505090317	   	   	 	                                                                                                                                                                                                                                              
 	      	10	D411	55 GL 20GAFOHUL DI411 D411    	        	0	 	0	0	               	          	KA	0	0	0	                              	A01	 	 	0.0	Z1	11331006	55 GAL    	Y	  	                    	0	                                                                  	  	N	 	20160509144830	   	   	 	                                                                                                                                                                                                                                              
