CUDEL	CUCONO	CUPROD	CUCNTR	CUUNMS	CUOPER	CUCVFA	CUHAZM	CUIUM	CUFEGL	CUF001
 	10	4318	022	GAL	M	1.0000000	N	GAL	0	                          
 	10	4318	646	GAL	M	52.0000000	N	DRM	0	                          
I	10	4318	646	LBS	M	408.0000000	N	DRM	0	                          
 	10	4319	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4320	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4320	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4323	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4324	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4325	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4325	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	4325	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	4325	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	4325	624	GAL	M	55.0000000	N	DRM	0	                          
I	10	4325	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4391	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4391	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4392	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4392	040	GAL	M	4.5000000	N	CAS	0	                          
 	10	4392	092	GAL	M	3.0000000	N	CAS	0	                          
 	10	4392	093	GAL	M	12.0000000	N	CAS	0	                          
 	10	4392	094	GAL	M	4.5000000	N	CAS	0	                          
I	10	4392	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	4392	601	GAL	M	55.0000000	N	DRM	0	                          
 	10	4392	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4393	601	GAL	M	55.0000000	N	DRM	0	                          
 	10	4421	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4421	003	LBS	M	2600.0000000	N	TOT	0	                          
 	10	4421	608	LBS	M	40.0000000	N	PAL	0	                          
 	10	4421	648	LBS	M	412.0000000	N	DRM	0	                          
D	10	4425	001	LBS	M	1.0000000	N	LBS	0	                          
D	10	4425	608	LBS	M	40.0000000	N	PAL	0	                          
I	10	4448	646	LBS	M	349.0000000	N	DRM	0	                          
 	10	4449	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4449	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4450	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4450	648	LBS	M	400.0000000	N	DRM	0	                          
 	10	4451	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4451	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4452	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4453	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4454	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4455	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4456	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4456	646	LBS	M	350.0000000	N	DRM	0	                          
I	10	4457	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4457	646	LBS	M	340.0000000	N	DRM	0	                          
I	10	4458	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4459	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4459	646	LBS	M	392.0000000	N	DRM	0	                          
I	10	4460	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4460	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4524	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4524	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4525	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4538	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4538	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4552	001	LBS	M	1.0000000	Y	LBS	0	                          
 	10	4553	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4553	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4554	001	GAL	M	1.0000000	Y	GAL	0	                          
 	10	4554	001	LBS	M	1.0000000	Y	LBS	0	                          
I	10	4554	052	GAL	M	1.0000000	Y	GAL	0	                          
I	10	4554	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	4554	626	GAL	M	51.0000000	N	DRM	0	                          
 	10	4554	645	LI 	M	193.0000000	N	DRM	0	                          
 	10	4554	646	GAL	M	51.0000000	N	DRM	0	                          
 	10	4554	646	KG 	M	185.0000000	N	DRM	0	                          
 	10	4554	646	LBS	M	409.0000000	N	DRM	0	                          
 	10	4555	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4555	646	GAL	M	53.0000000	N	DRM	0	                          
 	10	4560	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4570	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4570	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4571	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4571	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4571	646	GAL	M	52.0000000	N	DRM	0	                          
I	10	4572	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4577	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4577	646	GAL	M	50.0000000	N	DRM	0	                          
I	10	4578	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4579	001	GAL	M	1.0000000	N	GAL	0	                          
