WTDEL	WTCONO	WTPROD	WTCNTR	WTGROS	WTTARE	WTNET	WTGAL	WTF001
I	10	7178	174	12.00	0.00	12.00	1.5000000	                        
I	10	6317	173	12.00	0.00	12.00	1.5000000	                        
I	10	162V	320	240.00	0.00	240.00	30.0000000	                        
I	10	163V	306	40.00	0.00	40.00	5.0000000	                        
I	10	164V	306	40.00	0.00	40.00	5.0000000	                        
I	10	164V	664	440.00	0.00	440.00	55.0000000	                        
I	10	165V	120	32.00	0.00	32.00	4.0000000	                        
I	10	166V	120	32.00	0.00	32.00	4.0000000	                        
I	10	166V	621	440.00	0.00	440.00	55.0000000	                        
I	10	166V	340	2200.00	0.00	2200.00	275.0000000	                        
I	10	167V	120	32.00	0.00	32.00	4.0000000	                        
I	10	167V	300	40.00	0.00	40.00	5.0000000	                        
I	10	167V	621	440.00	0.00	440.00	55.0000000	                        
I	10	167V	340	2200.00	0.00	2200.00	275.0000000	                        
I	10	168V	128	32.00	0.00	32.00	4.0000000	                        
I	10	168V	306	40.00	0.00	40.00	5.0000000	                        
I	10	168V	631	440.00	0.00	440.00	55.0000000	                        
I	10	168V	340	2200.00	0.00	2200.00	275.0000000	                        
I	10	169V	128	32.00	0.00	32.00	4.0000000	                        
I	10	169V	631	440.00	0.00	440.00	55.0000000	                        
I	10	169V	340	2200.00	0.00	2200.00	275.0000000	                        
 	10	PM00	   	11.00	0.00	11.00	0.0000000	                        
 	10	PM07	   	3.00	0.00	3.00	0.0000000	                        
 	10	PM01	   	11.00	0.00	11.00	0.0000000	                        
 	10	PM11	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM14	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM17	   	4.00	0.00	4.00	0.0000000	                        
 	10	PM02	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM16	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM20	   	1.00	0.00	1.00	0.0000000	                        
 	10	7780	501	37.01	3.00	34.01	5.0000000	                        
 	10	7780	601	407.14	35.00	372.14	55.0000000	                        
 	10	PM21	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM22	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM04	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM05	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM13	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM06	   	24.00	0.00	24.00	0.0000000	                        
 	10	PM03	   	3.00	0.00	3.00	0.0000000	                        
 	10	PM23	   	3.00	0.00	3.00	0.0000000	                        
 	10	PM24	   	2.00	0.00	2.00	0.0000000	                        
 	10	PM25	   	2.00	0.00	2.00	0.0000000	                        
 	10	PM26	   	2.00	0.00	2.00	0.0000000	                        
 	10	PM27	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM28	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM29	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM30	   	1.00	0.00	1.00	0.0000000	                        
 	10	PM31	   	0.04	0.00	0.04	0.0000000	                        
 	10	Q334	   	0.01	0.00	0.01	0.0000000	                        
 	10	Q302	   	0.32	0.00	0.32	0.0000000	                        
 	10	D421	   	30.00	0.00	30.00	0.0000000	                        
 	10	P581	   	2.00	0.00	2.00	0.0000000	                        
 	10	PLG1	   	1.00	0.00	1.00	0.0000000	                        
 	10	D311	   	10.00	0.00	10.00	0.0000000	                        
 	10	E002	   	1.00	0.00	1.00	0.0000000	                        
 	10	E036	   	1.00	0.00	1.00	0.0000000	                        
 	10	E042	   	1.00	0.00	1.00	0.0000000	                        
 	10	F140	   	1.00	0.00	1.00	0.0000000	                        
 	10	F141	   	1.00	0.00	1.00	0.0000000	                        
 	10	F805	   	1.00	0.00	1.00	0.0000000	                        
 	10	F806	   	1.00	0.00	1.00	0.0000000	                        
 	10	F809	   	1.00	0.00	1.00	0.0000000	                        
I	10	4324	586	2146.00	146.00	2000.00	274.0000000	                        
I	10	4315	586	2146.00	146.00	2000.00	277.0000000	                        
I	10	170V	510	40.00	3.00	37.00	5.0000000	                        
I	10	162V	041	24.00	1.50	22.50	3.0000000	                        
 	10	4313	653	433.00	37.00	396.00	52.0000000	                        
 	10	4313	501	40.54	2.50	38.04	5.0000000	                        
 	10	4313	608	40.54	2.50	38.04	5.0000000	                        
 	10	4312	653	430.00	37.00	393.00	52.0000000	                        
 	10	4554	653	455.00	37.00	418.00	52.0000000	                        
 	10	4554	601	479.00	37.00	442.00	55.0000000	                        
 	10	4555	653	434.00	37.00	397.00	52.0000000	                        
 	10	4570	653	430.00	37.00	393.00	52.0000000	                        
 	10	4571	653	435.00	37.00	398.00	52.0000000	                        
 	10	4577	653	448.00	37.00	411.00	52.0000000	                        
 	10	4579	653	471.00	37.00	434.00	52.0000000	                        
 	10	4586	653	471.00	37.00	434.00	52.0000000	                        
 	10	4586	628	497.00	37.00	460.00	55.0000000	                        
 	10	4590	653	414.00	37.00	377.00	52.0000000	                        
 	10	4608	653	431.59	37.00	394.59	52.0000000	                        
I	10	4612	653	468.32	35.00	433.32	52.0000000	                        
 	10	4618	653	441.00	37.00	404.00	52.0000000	                        
I	10	4618	003	2734.00	146.00	2588.00	330.0000000	                        
 	10	7377	624	431.69	35.00	396.69	55.0000000	                        
I	10	137V	525	40.00	3.00	37.00	5.0000000	                        
I	10	145V	697	168.00	40.00	128.00	16.0000000	                        
I	10	4324	003	2557.08	146.00	2411.08	330.0000000	                        
I	10	4315	003	2529.06	146.00	2383.06	330.0000000	                        
I	10	116V	697	160.00	40.00	120.00	15.0000000	                        
 	10	7931	224	38.85	3.00	35.85	5.0000000	                        
 	10	7931	227	2081.75	110.00	1971.75	275.0000000	                        
I	10	122V	284	13.50	1.50	12.00	1.5000000	                        
I	10	1181	601	460.34	35.00	425.34	55.0000000	                        
 	10	1222	646	481.34	35.00	446.34	55.0000000	                        
I	10	0400	003	2567.57	146.00	2421.57	330.0000000	                        
 	10	1003	003	2681.03	146.00	2535.03	330.0000000	                        
 	10	1905	601	417.43	35.00	382.43	55.0000000	                        
 	10	1914	601	443.17	35.00	408.17	55.0000000	                        
 	10	1933	521	38.63	3.00	35.63	5.0000000	                        
 	10	1933	646	426.90	35.00	391.90	55.0000000	                        
I	10	4135	646	387.71	35.00	352.71	55.0000000	                        
 	10	4193	646	411.88	35.00	376.88	55.0000000	                        
 	10	4194	646	403.32	35.00	368.32	55.0000000	                        
I	10	4305	003	2527.61	146.00	2381.61	330.0000000	                        
I	10	4306	003	2511.67	146.00	2365.67	330.0000000	                        
 	10	4311	051	2268.26	146.00	2122.26	300.0000000	                        
I	10	4318	004	1791.07	146.00	1645.07	220.0000000	                        
I	10	4325	646	429.76	35.00	394.76	55.0000000	                        
 	10	4392	092	24.00	3.00	21.00	2.9300000	                        
 	10	4392	501	38.77	3.00	35.77	5.0000000	                        
I	10	4450	648	403.96	35.00	368.96	53.0000000	                        
I	10	4524	646	425.25	35.00	390.25	55.0000000	                        
I	10	6308	003	2490.32	146.00	2344.32	330.0000000	                        
I	10	6308	144	27.77	3.00	24.77	3.4900000	                        
 	10	F807	   	1.00	1.00	0.00	0.0000000	                        
I	10	163V	041	25.50	1.50	24.00	3.0000000	                        
I	10	164V	041	25.50	1.50	24.00	3.0000000	                        
I	10	171V	120	33.50	1.50	32.00	4.0000000	                        
I	10	172V	042	25.50	1.50	24.00	3.0000000	                        
I	10	4309	653	421.00	37.00	384.00	52.0000000	                        
D	10	4305	650	2300.00	0.00	2300.00	318.0000000	                        
D	10	4309	650	2300.00	0.00	2300.00	311.0000000	                        
I	10	4315	650	2446.00	146.00	2300.00	319.0000000	                        
I	10	4318	653	426.00	37.00	389.00	52.0000000	                        
D	10	4580	653	424.00	37.00	387.00	52.0000000	                        
I	10	4660	903	0.85	0.37	0.48	0.0700000	                        
I	10	4660	904	1.63	0.67	0.96	0.1300000	                        
 	10	PM32	   	7.00	0.00	7.00	0.0000000	                        
 	10	7364	924	431.94	35.00	396.94	55.0000000	                        
 	10	7312	924	420.61	35.00	385.61	55.0000000	                        
 	10	7396	924	442.35	35.00	407.35	55.0000000	                        
I	10	7364	921	41.50	2.50	39.00	5.0000000	                        
 	10	4555	613	434.00	37.00	397.00	52.0000000	                        
I	10	7178	185	30.00	0.00	30.00	3.7500000	                        
 	10	1204	151	8.00	0.00	8.00	1.0000000	                        
 	10	2123	151	8.00	0.00	8.00	1.0000000	                        
 	10	7393	003	2549.65	146.00	2403.65	330.0000000	                        
I	10	7397	601	437.00	35.00	402.00	55.0000000	                        
I	10	7723	051	2375.00	146.00	2229.00	300.0000000	                        
I	10	7362	924	428.80	35.00	393.80	55.0000000	                        
 	10	7374	924	434.38	35.00	399.38	55.0000000	                        
 	10	7350	213	12.16	1.50	10.66	1.5000000	                        
I	10	173V	546	38.00	3.00	35.00	5.0000000	                        
 	10	7536	582	427.00	35.00	392.00	55.0000000	                        
I	10	7529	582	439.00	35.00	404.00	55.0000000	                        
 	10	7527	582	434.00	35.00	399.00	55.0000000	                        
I	10	4551	646	419.00	35.00	384.00	55.0000000	                        
I	10	7797	670	435.00	35.00	400.00	55.0000000	                        
I	10	7142	008	24.02	2.50	21.52	3.0000000	                        
I	10	7143	008	23.98	2.50	21.48	3.0000000	                        
I	10	7206	008	23.63	2.50	21.13	3.0000000	                        
I	10	7423	008	23.75	2.50	21.25	3.0000000	                        
I	10	7119	008	24.61	2.50	22.11	3.0000000	                        
I	10	7115	008	24.50	2.50	22.00	3.0000000	                        
I	10	7120	008	24.50	2.50	22.00	3.0000000	                        
I	10	7198	114	31.52	2.50	29.02	4.0000000	                        
I	10	7196	114	32.33	2.50	29.83	4.0000000	                        
 	10	7360	667	441.00	35.00	406.00	55.0000000	                        
 	10	7312	923	420.61	35.00	385.61	55.0000000	                        
 	10	7931	228	4.70	1.00	3.70	0.5200000	                        
 	10	7931	229	16.10	1.31	14.79	2.0600000	                        
I	10	7196	030	24.50	2.50	22.00	3.0000000	                        
 	10	7194	104	32.93	3.00	29.93	4.0000000	                        
 	10	7933	228	4.92	1.00	3.92	0.5200000	                        
I	10	7253	020	24.16	2.50	21.66	3.0000000	                        
I	10	7253	080	24.16	2.50	21.66	3.0000000	                        
 	10	7253	081	23.16	1.50	21.66	3.0000000	                        
I	10	4575	653	431.00	37.00	394.00	52.0000000	                        
I	10	7791	770	437.00	42.00	395.00	55.0000000	                        
I	10	7536	787	2064.00	146.00	1918.00	265.0000000	                        
 	10	LT70	   	150.00	0.00	150.00	0.0000000	                        
I	10	6318	622	442.00	0.00	442.00	55.0000000	                        
I	10	6318	175	12.00	0.00	12.00	1.5000000	                        
I	10	6318	177	30.00	0.00	30.00	3.7500000	                        
I	10	7272	667	442.00	36.00	406.00	55.0000000	                        
I	10	7272	669	2590.38	146.00	2444.38	330.0000000	                        
I	10	7273	667	443.68	35.00	408.68	55.0000000	                        
 	10	7277	667	442.00	36.00	406.00	55.0000000	                        
 	10	7277	669	2587.31	146.00	2441.31	330.0000000	                        
I	10	7285	667	442.00	35.00	407.00	55.0000000	                        
I	10	7264	667	442.14	35.00	407.14	55.0000000	                        
I	10	7264	669	2588.86	146.00	2442.86	330.0000000	                        
I	10	7264	668	39.51	2.50	37.01	5.0000000	                        
I	10	7272	668	39.54	2.50	37.04	5.0000000	                        
I	10	7273	668	40.15	3.00	37.15	5.0000000	                        
I	10	7273	669	2596.54	146.00	2450.54	330.0000000	                        
 	10	7277	668	39.00	2.50	36.50	5.0000000	                        
 	10	7284	667	443.68	35.00	408.68	55.0000000	                        
 	10	7284	668	39.65	2.50	37.15	5.0000000	                        
 	10	7284	669	2598.00	146.00	2452.00	330.0000000	                        
 	10	7284	049	2072.00	140.00	1932.00	260.0000000	                        
I	10	7285	668	38.00	2.50	35.50	5.0000000	                        
I	10	7285	669	2495.00	146.00	2349.00	330.0000000	                        
 	10	8201	653	421.00	37.00	384.00	52.0000000	                        
I	10	7272	416	2795.38	351.00	2444.38	330.0000000	                        
 	10	7305	416	2760.60	351.00	2409.60	330.0000000	                        
 	10	7365	669	2575.13	146.00	2429.13	330.0000000	                        
 	10	7305	669	2555.60	146.00	2409.60	330.0000000	                        
I	10	7422	732	442.00	35.00	407.00	55.0000000	                        
 	10	7305	667	436.60	35.00	401.60	55.0000000	                        
 	10	7305	668	39.00	2.50	36.50	5.0000000	                        
 	10	7305	606	436.60	35.00	401.60	55.0000000	                        
 	10	7305	616	436.60	35.00	401.60	55.0000000	                        
 	10	7305	615	436.60	35.00	401.60	55.0000000	                        
I	10	7743	701	131.50	11.50	120.00	16.0000000	                        
I	10	7743	551	39.38	2.50	36.88	5.0000000	                        
 	10	7367	667	442.40	35.00	407.40	55.0000000	                        
 	10	7367	669	2590.38	146.00	2444.38	330.0000000	                        
I	10	7196	669	2394.00	146.00	2248.00	330.0000000	                        
I	10	7196	333	2346.08	146.00	2200.08	300.0000000	                        
I	10	7196	416	2771.08	351.00	2420.08	330.0000000	                        
 	10	7424	669	2504.51	146.00	2358.51	330.0000000	                        
 	10	7381	669	2530.51	146.00	2384.51	330.0000000	                        
 	10	7522	582	433.00	35.00	398.00	55.0000000	                        
 	10	7522	667	433.00	35.00	398.00	55.0000000	                        
I	10	7272	632	442.00	35.00	407.00	55.0000000	                        
I	10	7272	583	442.00	35.00	407.00	55.0000000	                        
I	10	7196	667	438.00	35.00	403.00	55.0000000	                        
 	10	7705	065	2481.87	146.00	2335.87	330.0000000	                        
 	10	7730	669	2601.17	146.00	2455.17	330.0000000	                        
 	10	7380	003	2543.71	146.00	2397.71	330.0000000	                        
 	10	4129	970	1927.60	146.00	1781.60	260.0000000	                        
 	10	7363	667	435.11	35.00	400.11	55.0000000	                        
I	10	6319	197	30.00	0.00	30.00	3.7500000	                        
I	10	6320	198	30.00	0.00	30.00	3.7500000	                        
I	10	4551	669	2452.83	146.00	2306.83	330.0000000	                        
 	10	5000	799	2797.33	146.00	2651.33	313.0000000	                        
 	10	9135	646	407.00	35.00	372.00	55.0000000	                        
I	10	6321	178	12.00	12.00	0.00	1.5000000	                        
I	10	6321	662	442.00	442.00	0.00	55.0000000	                        
I	10	6321	622	442.00	442.00	0.00	55.0000000	                        
 	10	7382	255	24.47	2.50	21.97	3.0000000	                        
I	10	7422	003	2506.49	146.00	2360.49	330.0000000	                        
 	10	7350	209	31.08	3.33	27.75	4.0000000	                        
 	10	7350	214	31.08	3.00	28.08	4.0000000	                        
 	10	7706	003	2513.12	146.00	2367.12	330.0000000	                        
 	10	7287	416	2781.65	351.00	2430.65	330.0000000	                        
 	10	7287	667	442.14	35.00	407.14	55.0000000	                        
 	10	7287	669	2576.65	146.00	2430.65	330.0000000	                        
I	10	7288	416	3795.38	351.00	3444.38	330.0000000	                        
I	10	7288	667	442.40	35.00	407.40	55.0000000	                        
I	10	7288	669	2590.38	146.00	2444.38	330.0000000	                        
 	10	7289	416	2798.45	351.00	2447.45	330.0000000	                        
 	10	7289	667	442.91	35.00	407.91	55.0000000	                        
 	10	7289	669	2593.45	146.00	2447.45	330.0000000	                        
 	10	7536	250	23.93	2.50	21.43	3.0000000	                        
I	10	4551	806	2334.00	146.00	2188.00	313.0000000	                        
 	10	1135	669	2923.94	146.00	2777.94	330.0000000	                        
 	10	7930	215	8.55	2.50	6.05	0.7900000	                        
 	10	7930	216	8.55	2.50	6.05	0.7900000	                        
 	10	7930	217	8.55	2.50	6.05	0.7900000	                        
 	10	7930	218	8.55	2.50	6.05	0.7900000	                        
 	10	7934	215	7.25	1.50	5.75	0.7900000	                        
 	10	7934	216	7.25	1.50	5.75	0.7900000	                        
 	10	7934	217	7.25	1.50	5.75	0.7900000	                        
 	10	7934	218	7.25	1.50	5.75	0.7900000	                        
 	10	7936	256	2585.79	146.00	2439.79	330.0000000	                        
 	10	7935	230	4.85	1.00	3.85	0.5200000	                        
 	10	7935	231	4.84	1.00	3.84	0.5100000	                        
 	10	7935	232	4.84	1.00	3.84	0.5100000	                        
 	10	7935	233	4.84	1.00	3.84	0.5100000	                        
 	10	7935	234	4.84	1.00	3.84	0.5100000	                        
 	10	7935	237	4.85	1.00	3.85	0.5200000	                        
 	10	7935	238	4.84	1.00	3.84	0.5100000	                        
 	10	7935	239	4.84	1.00	3.84	0.5100000	                        
 	10	7935	240	4.84	1.00	3.84	0.5100000	                        
 	10	7935	241	4.84	1.00	3.84	0.5100000	                        
 	10	7935	244	4.85	1.00	3.85	0.5200000	                        
 	10	7935	245	4.84	1.00	3.84	0.5100000	                        
 	10	7935	246	4.84	1.00	3.84	0.5100000	                        
 	10	7935	247	4.84	1.00	3.84	0.5100000	                        
I	10	7935	248	4.84	1.00	3.84	0.5100000	                        
 	10	7935	252	4.85	1.00	3.85	0.5200000	                        
 	10	7935	254	445.23	35.00	410.23	55.0000000	                        
I	10	6311	195	30.00	0.00	30.00	3.7500000	                        
D	10	7937	256	1607.37	146.00	1461.37	330.0000000	                        
 	10	4554	931	9.54	1.50	8.04	1.0000000	                        
 	10	5000	933	44.85	2.50	42.35	5.0000000	                        
 	10	7930	270	8.55	2.50	6.05	0.7900000	                        
 	10	7930	271	8.55	2.50	6.05	0.7900000	                        
 	10	7930	272	8.55	2.50	6.05	0.7900000	                        
 	10	7930	273	8.55	2.50	6.05	0.7900000	                        
 	10	0386	931	8.34	1.00	7.34	1.0000000	                        
 	10	4586	932	44.28	2.50	41.78	5.0000000	                        
 	10	4586	933	43.28	1.50	41.78	5.0000000	                        
 	10	7350	931	8.02	1.00	7.02	1.0000000	                        
I	10	6893	931	8.34	1.00	7.34	1.0000000	                        
 	10	4131	931	7.83	1.00	6.83	1.0000000	                        
 	10	4129	931	8.37	1.50	6.87	1.0000000	                        
I	10	4327	931	8.59	1.50	7.09	1.0000000	                        
 	10	4577	931	9.40	1.50	7.90	1.0000000	                        
 	10	7930	242	8.55	2.50	6.05	0.7900000	                        
 	10	4315	931	8.72	1.50	7.22	1.0000000	                        
I	10	7937	251	2067.37	146.00	1921.37	330.0000000	                        
 	10	4459	931	8.78	1.50	7.28	1.0000000	                        
 	10	4670	931	8.66	1.50	7.16	1.0000000	                        
 	10	7938	261	13.58	2.50	11.08	1.5000000	                        
 	10	7938	262	13.58	2.50	11.08	1.5000000	                        
 	10	7938	263	13.58	2.50	11.08	1.5000000	                        
 	10	7938	264	2584.27	146.00	2438.27	330.0000000	                        
 	10	8201	931	8.38	1.00	7.38	1.0000000	                        
 	10	4111	931	7.95	1.50	6.45	1.0000000	                        
 	10	4570	931	9.04	1.50	7.54	1.0000000	                        
 	10	4571	931	9.15	1.50	7.65	1.0000000	                        
 	10	7424	559	39.74	4.00	35.74	5.0000000	                        
 	10	7939	257	2554.67	146.00	2408.67	330.0000000	                        
 	10	1101	931	8.31	1.00	7.31	1.0000000	                        
 	10	4318	931	8.98	1.50	7.48	1.0000000	                        
 	10	4312	931	8.56	1.00	7.56	1.0000000	                        
 	10	4129	932	36.86	2.50	34.36	5.0000000	                        
 	10	4318	933	39.89	2.50	37.39	5.0000000	                        
 	10	4315	933	38.61	2.50	36.11	5.0000000	                        
 	10	4451	632	36.80	2.50	34.30	5.0000000	                        
 	10	4451	932	36.90	2.50	34.40	5.0000000	                        
 	10	4608	931	9.09	1.50	7.59	1.0000000	                        
 	10	5000	931	9.97	1.50	8.47	1.0000000	                        
 	10	7919	931	8.29	1.00	7.29	1.0000000	                        
I	10	7423	931	8.08	1.00	7.08	1.0000000	                        
 	10	PD21	   	22.00	0.00	22.00	0.0000000	                        
 	10	PQ02	   	0.10	0.00	0.10	0.0000000	                        
 	10	4555	931	9.14	1.50	7.64	1.0000000	                        
 	10	7200	931	8.24	1.00	7.24	1.0000000	                        
 	10	7190	931	9.35	2.00	7.35	1.0000000	                        
I	10	7730	921	39.56	1.00	38.56	5.0000000	                        
 	10	7064	931	8.29	1.00	7.29	1.0000000	                        
 	10	7127	931	8.17	1.00	7.17	1.0000000	                        
 	10	7129	931	8.24	1.00	7.24	1.0000000	                        
 	10	7735	931	8.47	1.00	7.47	1.0000000	                        
 	10	4451	931	8.38	1.00	7.38	1.0000000	                        
 	10	7730	931	8.43	1.00	7.43	1.0000000	                        
 	10	F618	   	0.50	0.00	0.50	0.0000000	                        
 	10	4306	931	8.17	1.00	7.17	1.0000000	                        
 	10	4316	931	8.35	1.00	7.35	1.0000000	                        
 	10	4454	932	38.15	2.50	35.65	5.0000000	                        
 	10	D411	   	30.00	30.00	0.00	0.0000000	                        
 	10	4459	932	43.60	2.50	41.10	5.0000000	                        
I	10	4551	932	37.45	2.50	34.95	5.0000000	                        
I	10	7196	931	8.33	1.00	7.33	1.0000000	                        
 	10	7177	931	9.32	2.00	7.32	1.0000000	                        
 	10	7191	931	9.30	2.00	7.30	1.0000000	                        
 	10	7193	931	8.38	1.00	7.38	1.0000000	                        
 	10	7143	931	9.16	2.00	7.16	1.0000000	                        
I	10	7166	931	8.41	1.00	7.41	1.0000000	                        
 	10	7168	931	9.28	2.00	7.28	1.0000000	                        
 	10	4313	931	9.11	1.50	7.61	1.0000000	                        
I	10	7704	931	8.05	1.00	7.05	1.0000000	                        
 	10	7705	931	8.08	1.00	7.08	1.0000000	                        
 	10	7706	931	8.17	1.00	7.17	1.0000000	                        
 	10	7030	258	24.76	2.80	21.96	3.0000000	                        
I	10	7196	288	39.67	3.00	36.67	5.0000000	                        
I	10	7196	289	438.35	35.00	403.35	55.0000000	                        
I	10	7196	290	2566.08	146.00	2420.08	330.0000000	                        
 	10	7194	288	39.91	2.50	37.41	5.0000000	                        
 	10	7194	289	446.53	35.00	411.53	55.0000000	                        
 	10	7194	290	2915.19	146.00	2769.19	330.0000000	                        
 	10	4129	199	29.99	2.50	27.49	4.0000000	                        
 	10	7194	291	39.91	2.50	37.41	5.0000000	                        
 	10	7194	292	446.53	35.00	411.53	55.0000000	                        
 	10	7194	293	2615.19	146.00	2469.19	330.0000000	                        
I	10	7196	291	39.67	2.50	37.17	5.0000000	                        
I	10	7196	292	438.35	35.00	403.35	55.0000000	                        
I	10	7196	293	2566.08	35.00	2531.08	330.0000000	                        
 	10	4310	931	8.32	1.00	7.32	1.0000000	                        
 	10	4115	931	8.09	1.50	6.59	1.0000000	                        
 	10	4118	931	8.23	1.00	7.23	1.0000000	                        
 	10	4618	931	9.28	1.50	7.78	1.0000000	                        
 	10	4586	931	9.86	1.50	8.36	1.0000000	                        
 	10	K812	   	1.00	0.00	1.00	0.0000000	                        
 	10	K816	   	1.00	0.00	1.00	0.0000000	                        
 	10	7539	931	8.40	1.00	7.40	1.0000000	                        
I	10	7542	931	8.46	1.00	7.46	1.0000000	                        
I	10	7792	931	8.44	1.00	7.44	1.0000000	                        
 	10	4317	931	8.48	1.00	7.48	1.0000000	                        
I	10	4556	931	8.72	1.00	7.72	1.0000000	                        
 	10	4324	931	8.81	1.50	7.31	1.0000000	                        
 	10	4324	933	39.03	2.50	36.53	5.0000000	                        
 	10	1128	938	7.97	2.50	5.47	1.0000000	                        
I	10	6317	184	12.00	0.00	12.00	1.5000000	                        
I	10	6317	064	12.00	0.00	12.00	1.5000000	                        
 	10	4454	931	8.65	1.50	7.15	1.0000000	                        
 	10	4301	931	8.25	1.00	7.25	1.0000000	                        
I	10	4617	931	9.22	1.00	8.22	1.0000000	                        
I	10	4617	933	9.72	1.50	8.22	5.0000000	                        
 	10	PZ70	   	150.00	0.00	150.00	0.0000000	                        
 	10	7287	931	8.40	1.00	7.40	1.0000000	                        
 	10	4577	933	42.01	2.50	39.51	5.0000000	                        
 	10	4554	932	42.72	2.50	40.22	5.0000000	                        
 	10	7393	931	8.36	1.00	7.36	1.0000000	                        
 	10	7527	931	8.26	1.00	7.26	1.0000000	                        
I	10	4548	669	2435.00	146.00	2289.00	330.0000000	                        
 	10	7148	096	26.10	2.00	24.10	3.1700000	                        
 	10	7148	150	33.00	2.50	30.50	4.2300000	                        
 	10	7544	096	24.68	2.00	22.68	3.1700000	                        
 	10	7544	150	32.77	2.50	30.27	4.2300000	                        
 	10	7543	096	24.60	2.00	22.60	3.1700000	                        
 	10	7543	150	32.66	2.50	30.16	4.2300000	                        
 	10	7149	096	23.32	2.00	21.32	3.1700000	                        
 	10	7149	150	34.28	2.50	31.78	4.2300000	                        
 	10	7148	635	433.39	35.00	398.39	55.0000000	                        
 	10	7148	787	2065.53	146.00	1919.53	265.0000000	                        
 	10	7544	635	428.56	35.00	393.56	55.0000000	                        
 	10	7544	787	2042.26	146.00	1896.26	265.0000000	                        
I	10	7149	635	439.60	35.00	404.60	55.0000000	                        
I	10	7149	787	2095.45	146.00	1949.45	265.0000000	                        
I	10	7543	635	427.13	35.00	392.13	55.0000000	                        
I	10	7543	787	2035.37	146.00	1889.37	265.0000000	                        
 	10	7148	582	433.39	35.00	398.39	55.0000000	                        
 	10	7148	624	433.39	35.00	398.39	55.0000000	                        
 	10	7148	788	2517.45	146.00	2371.45	330.0000000	                        
I	10	7149	582	439.60	35.00	404.60	55.0000000	                        
I	10	7149	624	439.60	35.00	404.60	55.0000000	                        
I	10	7149	788	2573.61	146.00	2427.61	330.0000000	                        
I	10	7543	582	427.13	35.00	392.13	55.0000000	                        
I	10	7543	624	427.13	35.00	392.13	55.0000000	                        
I	10	7543	788	2498.80	146.00	2352.80	330.0000000	                        
 	10	7544	582	428.56	35.00	393.56	55.0000000	                        
 	10	7544	624	428.56	35.00	393.56	55.0000000	                        
 	10	7544	788	2500.25	146.00	2354.25	330.0000000	                        
 	10	4309	931	8.88	1.50	7.38	1.0000000	                        
 	10	4317	932	39.90	2.50	37.40	5.0000000	                        
I	10	6322	184	12.00	0.00	12.00	1.5000000	                        
I	10	6322	622	442.00	0.00	442.00	55.0000000	                        
 	10	4451	935	413.00	35.00	378.00	55.0000000	                        
I	10	7362	923	428.80	35.00	393.80	55.0000000	                        
 	10	4115	932	35.46	2.50	32.96	5.0000000	                        
 	10	4118	932	36.16	2.50	33.66	5.0000000	                        
 	10	F810	   	1.00	0.00	1.00	0.0000000	                        
 	10	K836	   	1.00	0.00	1.00	0.0000000	                        
 	10	4107	937	7.14	1.00	6.14	1.0000000	                        
 	10	4318	934	448.26	37.00	411.26	55.0000000	                        
I	10	7386	003	2596.55	146.00	2450.55	330.0000000	                        
 	10	4555	934	434.00	37.00	397.00	52.0000000	                        
 	10	7935	333	2384.00	146.00	2238.00	300.0000000	                        
 	10	7935	249	4.84	1.00	3.84	0.5100000	                        
 	10	4421	931	8.67	1.00	7.67	1.0000000	                        
 	10	4459	935	439.10	42.00	397.10	55.0000000	                        
 	10	4300	931	8.30	1.00	7.30	1.0000000	                        
 	10	4131	932	36.65	2.50	34.15	5.0000000	                        
I	10	4421	003	2746.00	146.00	2600.00	330.0000000	                        
I	10	4327	933	37.98	2.50	35.48	5.0000000	                        
 	10	4111	932	34.74	2.50	32.24	5.0000000	                        
I	10	6318	204	30.00	0.00	30.00	3.7500000	                        
I	10	8105	937	8.21	1.50	6.71	1.0000000	                        
 	10	8135	937	8.29	1.50	6.79	1.0000000	                        
 	10	8170	937	8.20	1.50	6.70	1.0000000	                        
 	10	8221	937	8.70	1.50	7.20	1.0000000	                        
 	10	8221	931	8.70	1.50	7.20	1.0000000	                        
 	10	7934	715	6.04	1.25	4.79	0.6600000	                        
 	10	7934	815	14.50	3.00	11.50	1.6000000	                        
 	10	7935	752	4.20	1.00	3.20	0.4300000	                        
 	10	7935	852	18.38	3.00	15.38	2.0600000	                        
I	10	4548	931	7.94	1.00	6.94	1.0000000	                        
 	10	7194	931	8.49	1.00	7.49	1.0000000	                        
 	10	4313	933	40.54	2.50	38.04	5.0000000	                        
I	10	6322	194	29.00	0.00	29.00	3.7500000	                        
I	10	4115	501	34.50	1.50	33.00	5.0000000	                        
 	10	4618	004	1860.00	135.00	1725.00	220.0000000	                        
