WTDEL	WTCONO	WTPROD	WTCNTR	WTGROS	WTTARE	WTNET	WTGAL	WTF001
I	10	7166	025	25.80	2.70	23.10	3.1700000	                        
I	10	7167	102	32.00	2.50	29.50	4.0000000	                        
I	10	7168	354	24.50	2.80	21.70	3.0000000	                        
I	10	7168	982	442.00	42.00	400.00	55.0000000	                        
I	10	7169	009	24.50	2.50	22.00	3.0000000	                        
I	10	7169	011	24.29	2.50	21.79	3.0000000	                        
I	10	7169	025	25.80	2.70	23.10	3.1600000	                        
I	10	7169	101	32.00	3.30	28.70	4.0000000	                        
I	10	7171	100	32.00	2.90	29.10	4.0000000	                        
I	10	7172	025	25.80	2.70	23.10	3.7900000	                        
I	10	7174	011	24.29	2.50	21.79	3.0000000	                        
I	10	7174	025	25.80	2.70	23.10	3.7900000	                        
 	10	7180	601	442.00	35.00	407.00	55.0000000	                        
 	10	7180	610	442.00	35.00	407.00	55.0000000	                        
 	10	7180	776	110.00	11.50	98.50	14.0000000	                        
I	10	7189	004	1700.00	0.00	1700.00	220.0000000	                        
I	10	7189	100	32.00	3.00	29.00	4.0000000	                        
I	10	7189	103	32.00	2.90	29.10	4.0000000	                        
I	10	7189	501	41.50	2.50	39.00	5.0000000	                        
I	10	7189	504	41.50	2.50	39.00	5.0000000	                        
I	10	7189	601	442.00	35.00	407.00	55.0000000	                        
I	10	7189	602	442.00	0.00	442.00	55.0000000	                        
I	10	7189	627	442.00	35.00	407.00	55.0000000	                        
 	10	7190	004	1763.42	146.00	1617.42	220.0000000	                        
I	10	7190	008	24.56	2.50	22.06	3.0000000	                        
 	10	7190	009	24.56	2.50	22.06	3.0000000	                        
I	10	7190	017	24.50	2.50	22.00	3.0000000	                        
I	10	7190	020	24.29	2.80	21.49	3.0000000	                        
I	10	7190	027	24.29	0.00	24.29	3.0000000	                        
I	10	7190	028	24.50	2.50	22.00	3.0000000	                        
I	10	7190	100	32.00	2.90	29.10	4.0000000	                        
I	10	7190	101	32.00	3.30	28.70	4.0000000	                        
I	10	7190	103	32.00	2.90	29.10	4.0000000	                        
I	10	7190	105	32.00	2.90	29.10	4.0000000	                        
I	10	7190	354	24.50	2.80	21.70	3.0000000	                        
I	10	7190	432	32.00	2.90	29.10	4.0000000	                        
I	10	7190	448	41.50	2.50	39.00	5.0000000	                        
 	10	7190	501	39.76	3.00	36.76	5.0000000	                        
I	10	7190	502	39.00	2.50	36.50	5.0000000	                        
 	10	7190	504	39.76	3.00	36.76	5.0000000	                        
 	10	7190	535	39.76	3.00	36.76	5.0000000	                        
 	10	7190	601	439.35	35.00	404.35	55.0000000	                        
I	10	7190	602	442.00	0.00	442.00	55.0000000	                        
I	10	7190	603	436.10	35.00	401.10	55.0000000	                        
I	10	7190	982	442.00	35.00	407.00	55.0000000	                        
 	10	7191	448	39.35	3.00	36.35	5.0000000	                        
 	10	7191	501	39.35	3.00	36.35	5.0000000	                        
 	10	7191	502	39.35	3.00	36.35	5.0000000	                        
 	10	7191	601	434.87	35.00	399.87	55.0000000	                        
 	10	7191	603	434.87	35.00	399.87	55.0000000	                        
 	10	7191	982	434.87	35.00	399.87	55.0000000	                        
I	10	7192	501	41.50	2.50	39.00	5.0000000	                        
I	10	7192	502	39.00	2.50	36.50	5.0000000	                        
I	10	7192	603	436.10	35.00	401.10	55.0000000	                        
I	10	7192	606	436.10	35.00	401.10	55.0000000	                        
I	10	7192	982	442.00	35.00	407.00	55.0000000	                        
I	10	7193	009	24.50	2.50	22.00	3.0000000	                        
I	10	7193	016	24.29	0.00	24.29	3.0000000	                        
