RKDEL	RKCONO	RKLOC	RKPROD	RKCNTR	RKUNMS	RKDATE	RKTIME	RKF002	RKPRCE	RKF003	RKPR02	RKF004	RKPR03	RKF005	RKPR04	RKF006	RKPR05	RKMINQ	RKQT01	RKQT02	RKQT03	RKQT04	RKQT05	RKRKRQ	RKINAC	RKF001
 	10	001	166V	298	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	166V	340	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	167V	120	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	167V	298	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	167V	300	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	167V	340	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	168V	128	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	168V	299	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	168V	306	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	168V	340	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	169V	128	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	169V	299	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	169V	340	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	171V	120	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	178V	581	ECH	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	180V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	180V	890	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	180V	891	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	180V	892	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	180V	893	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	181V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
